Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
01-07-2018,"2,024","3,129",2.18,0,715,138,0,0,485
02-07-2018,"2,265","5,904",4.11,0,700,216,0,0,804
03-07-2018,"2,063","3,742",2.6,0,765,136,0,0,506
04-07-2018,"2,126","4,735",3.3,0,762,148,7,0,592
05-07-2018,"2,089","3,987",2.77,0,839,145,0,0,541
06-07-2018,"2,076","4,163",2.9,0,826,137,0,0,523
07-07-2018,"2,298","5,691",3.96,0,715,242,5,2,877
08-07-2018,"1,670",0,0,0,"1,440",0,0,0,0
09-07-2018,"2,283","5,691",3.96,0,"1,440",0,0,0,0
10-07-2018,"1,810","1,566",1.09,0,"1,348",45,0,0,185
11-07-2018,"2,055","3,646",2.54,0,810,131,6,1,507
12-07-2018,"2,212","5,464",3.8,0,757,195,0,0,727
13-07-2018,"2,153","5,082",3.54,0,776,161,0,0,625
14-07-2018,"2,323","6,239",4.34,0,726,233,9,4,900
15-07-2018,"2,376","6,666",4.64,0,818,29,0,0,99
16-07-2018,"2,182","5,055",3.52,0,988,34,0,0,114
17-07-2018,"2,272","6,124",4.26,0,751,220,0,0,821
18-07-2018,"2,149","5,005",3.48,0,843,162,0,0,626
19-07-2018,"2,074","3,653",2.54,0,814,150,0,0,538
20-07-2018,"2,033","3,805",2.65,0,814,117,0,0,461
21-07-2018,"2,290","5,374",3.74,0,718,244,0,0,862
22-07-2018,"2,537","7,981",5.55,0,620,332,8,1,"1,216"
23-07-2018,"2,190","5,413",3.77,0,761,178,0,0,691
24-07-2018,"2,144","5,299",3.79,0,736,140,8,0,609
25-07-2018,"2,019","3,581",2.49,0,797,119,0,0,453
26-07-2018,"2,112","4,194",2.92,0,862,164,0,0,596
27-07-2018,"1,684",42,0.03,0,"1,152",6,0,0,17
28-07-2018,"1,670",0,0,0,"1,440",0,0,0,0
29-07-2018,"1,670",42,0.03,0,"1,440",0,0,0,0
30-07-2018,"1,958","2,909",2.08,0,"1,341",99,0,0,379
31-07-2018,"2,231","5,384",3.75,0,730,208,0,0,762
